* Measurement data measured by REW V5.30.9
* Source: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2024 2:18:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Jun 20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	67.379	-147.9181
20.600000	67.459	-148.6786
20.900000	67.550	-149.6822
21.200001	67.633	-150.9604
21.400000	67.670	-151.9156
21.799999	67.693	-153.8280
22.000000	67.680	-154.6718
22.400000	67.625	-155.9695
22.700001	67.583	-156.5736
23.000000	67.561	-156.9765
23.299999	67.564	-157.3475
23.600000	67.580	-157.8345
24.000000	67.587	-158.7383
24.299999	67.565	-159.5025
24.700001	67.504	-160.4019
25.000000	67.461	-160.8967
25.400000	67.445	-161.4017
25.799999	67.489	-162.0390
26.200001	67.554	-163.0562
26.500000	67.585	-164.0385
26.900000	67.580	-165.3773
27.200001	67.548	-166.2078
27.600000	67.508	-166.9372
28.000000	67.508	-167.3381
28.500000	67.572	-167.8254
29.000000	67.640	-168.6551
29.500000	67.645	-169.6980
30.000000	67.582	-170.5900
30.400000	67.518	-171.0872
30.700001	67.484	-171.3731
31.100000	67.468	-171.7454
31.500000	67.481	-172.2199
32.000000	67.504	-172.9982
32.500000	67.491	-173.8105
33.000000	67.430	-174.3365
33.500000	67.362	-174.4653
34.000000	67.331	-174.5426
34.500000	67.330	-175.0398
35.000000	67.312	-175.9910
35.500000	67.277	-177.0135
36.000000	67.284	-177.9174
36.500000	67.349	-178.9728
37.000000	67.394	179.6874
37.500000	67.342	178.5680
38.200001	67.229	178.2863
38.700001	67.259	178.2108
39.500000	67.276	176.0503
40.000000	67.078	174.5817
40.599998	66.838	174.8780
41.200001	66.968	176.2386
41.799999	67.283	175.8271
42.500000	67.262	173.8804
43.099998	66.964	173.7654
43.700001	66.866	174.7311
44.400002	67.009	173.6893
45.000000	66.964	171.4223
45.500000	66.785	170.5468
46.200001	66.657	171.5644
46.799999	66.782	172.2353
47.500000	66.868	171.0147
48.200001	66.720	169.3807
48.700001	66.614	168.9977
49.400002	66.662	169.0503
50.000000	66.784	168.6001
50.799999	66.752	167.4001
51.500000	66.548	166.8481
52.200001	66.399	166.7427
53.000000	66.375	166.3550
53.799999	66.411	165.7602
54.500000	66.429	165.1336
55.200001	66.378	164.3876
56.000000	66.265	163.8529
57.000000	66.205	163.4190
58.000000	66.121	162.7649
59.000000	66.035	162.5140
60.000000	66.029	161.8958
60.799999	65.993	161.2896
61.500000	65.932	160.9431
62.200001	65.853	160.7081
63.000000	65.779	160.4670
64.000000	65.733	159.8219
65.000000	65.644	159.1765
66.000000	65.587	159.1526
67.000000	65.589	158.7313
68.000000	65.529	158.1732
69.000000	65.497	158.0004
70.000000	65.473	157.5410
71.000000	65.388	157.0191
72.000000	65.320	156.4926
73.000000	65.266	155.9758
74.000000	65.227	155.7646
75.000000	65.187	155.4202
76.199997	65.111	154.8317
77.500000	65.031	154.2391
78.800003	64.948	153.9337
