* Measurement data measured by REW V5.30.9
* Source: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2024 2:18:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Jun 20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
48.700001	66.837	170.9030
49.400002	66.993	169.8180
50.000000	66.956	168.5038
50.799999	66.767	168.3489
51.500000	66.776	168.6277
52.200001	66.794	167.4279
53.000000	66.590	166.1028
53.799999	66.502	166.3220
54.500000	66.607	165.7150
55.200001	66.560	164.1967
56.000000	66.325	163.8447
57.000000	66.367	164.8393
58.000000	66.513	163.3855
59.000000	66.284	162.2332
60.000000	66.199	162.9261
60.799999	66.291	162.3089
61.500000	66.270	161.1129
62.200001	66.171	160.3390
63.000000	66.061	160.0721
64.000000	65.985	160.3371
65.000000	66.050	160.0483
66.000000	66.001	158.7124
67.000000	65.852	158.4213
68.000000	65.787	158.3562
69.000000	65.700	158.1078
70.000000	65.709	157.8228
71.000000	65.713	156.7312
72.000000	65.591	156.1137
73.000000	65.554	155.9166
74.000000	65.488	155.0826
75.000000	65.348	155.1010
76.199997	65.373	155.4300
77.500000	65.359	154.4095
78.800003	65.202	153.7720
80.000000	65.223	153.4831
81.199997	65.145	152.1182
82.500000	64.950	152.5609
83.800003	64.979	152.3754
85.000000	64.890	151.4466
86.199997	64.744	151.2474
87.500000	64.746	151.4286
88.500000	64.733	150.6443
90.000000	64.576	150.2365
91.199997	64.481	150.2821
92.500000	64.501	150.5169
93.800003	64.467	149.4786
95.000000	64.344	148.9342
96.199997	64.219	148.8399
97.500000	64.177	149.3783
98.800003	64.213	148.6718
100.000000	64.139	147.7454
101.500000	63.984	146.8695
103.000000	63.834	147.0948
104.400002	63.885	147.3121
106.000000	63.937	146.8900
107.500000	63.887	146.3741
109.000000	63.801	146.0658
110.599998	63.594	146.3532
112.000000	63.474	146.2574
113.800003	63.414	145.4577
115.000000	63.383	144.8360
117.199997	63.406	145.4059
118.000000	63.344	145.9608
120.599998	63.012	145.4052
122.000000	62.995	144.6912
124.099998	63.154	145.0106
125.000000	63.061	145.4942
126.500000	62.943	145.3686
128.000000	62.892	144.2332
131.500000	62.794	144.1439
132.000000	62.742	143.9129
134.000000	62.750	143.2837
136.000000	62.565	143.7387
138.000000	62.545	142.9559
140.000000	62.408	143.5620
143.000000	62.377	143.2434
145.000000	62.151	143.0609
147.500000	62.155	143.3194
150.000000	61.942	142.2588
152.500000	61.975	142.8401
155.000000	61.904	142.9810
157.500000	61.892	143.2692
160.000000	61.828	143.9498
162.500000	61.622	144.2231
165.000000	61.515	144.5340
167.500000	61.422	145.8124
170.000000	61.392	147.0499
172.500000	61.625	147.9549
175.000000	61.774	148.2597
177.500000	61.969	146.7545
180.000000	62.009	146.0257
182.500000	61.974	144.4312
185.000000	61.945	144.1807
187.500000	61.904	143.5378
190.000000	61.785	143.4900
192.500000	61.857	143.2554
195.000000	61.775	143.0615
197.500000	61.791	142.7120
200.000000	61.681	142.0193
203.000000	61.623	141.7915
206.000000	61.532	141.9159
209.000000	61.473	141.9091
212.000000	61.476	142.1348
214.000000	61.486	141.7873
218.000000	61.469	141.7892
220.000000	61.454	141.3975
224.000000	61.407	140.8796
227.000000	61.346	140.5491
230.000000	61.291	140.2537
233.000000	61.249	140.0546
236.000000	61.179	139.7691
240.000000	61.106	139.6395
243.000000	61.040	139.5066
247.000000	60.992	139.2736
250.000000	60.962	138.4402
254.000000	60.880	139.1281
258.000000	60.808	138.8587
262.000000	60.738	138.8312
265.000000	60.711	138.9609
269.000000	60.650	138.6962
272.000000	60.615	138.6461
276.000000	60.571	138.5638
280.000000	60.502	138.3392
285.000000	60.449	138.4504
290.000000	60.393	138.5287
295.000000	60.351	138.6266
300.000000	60.290	138.4141
304.000000	60.247	138.4002
307.000000	60.212	138.4701
311.000000	60.192	138.3574
315.000000	60.129	138.2687
320.000000	60.107	138.3080
325.000000	60.064	138.2654
330.000000	60.031	138.2759
335.000000	59.987	138.2738
340.000000	59.964	138.1761
345.000000	59.969	138.2234
350.000000	59.929	138.0249
355.000000	59.831	137.9901
360.000000	59.782	138.1068
365.000000	59.762	138.0605
370.000000	59.711	138.0482
375.000000	59.684	138.1304
382.000000	59.581	138.1791
387.000000	59.551	138.1966
395.000000	59.462	138.1180
400.000000	59.468	138.6744
406.000000	59.401	139.2723
412.000000	59.429	139.8939
418.000000	59.483	140.3669
425.000000	59.588	140.5901
431.000000	59.725	140.7576
437.000000	59.706	139.7896
444.000000	59.726	139.3815
450.000000	59.751	139.6033
455.000000	59.720	138.8769
462.000000	59.692	138.4619
468.000000	59.662	138.1454
475.000000	59.663	137.9823
482.000000	59.613	137.9308
487.000000	59.625	137.8433
494.000000	59.582	137.6390
500.000000	59.577	137.7114
508.000000	59.559	137.5599
515.000000	59.566	137.3901
522.000000	59.530	137.3705
530.000000	59.523	137.3315
538.000000	59.516	137.5441
545.000000	59.498	137.4418
552.000000	59.458	137.3822
560.000000	59.490	137.2332
570.000000	59.488	137.0554
580.000000	59.474	137.0927
590.000000	59.447	136.9719
600.000000	59.464	137.1183
608.000000	59.483	137.1340
615.000000	59.480	137.1164
622.000000	59.479	136.9565
630.000000	59.482	137.2274
640.000000	59.534	136.8403
650.000000	59.520	137.4554
660.000000	59.508	137.0378
670.000000	59.564	137.2558
680.000000	59.542	137.2053
690.000000	59.726	137.2043
700.000000	59.515	137.4920
710.000000	59.632	137.4362
720.000000	59.634	137.4420
730.000000	59.683	137.5422
740.000000	59.728	137.7666
750.000000	59.824	137.7228
762.000000	59.820	137.7802
775.000000	59.839	137.8075
788.000000	59.923	137.8059
800.000000	59.977	138.1118
812.000000	60.030	137.9867
825.000000	60.117	138.2299
838.000000	60.195	138.3317
850.000000	60.287	138.5480
862.000000	60.339	138.0491
875.000000	60.429	138.2334
885.000000	60.508	138.0865
900.000000	60.618	138.1367
912.000000	60.685	138.0807
925.000000	60.771	137.9208
938.000000	60.877	137.6455
950.000000	60.972	137.6122
962.000000	61.069	136.9962
975.000000	61.112	136.5512
988.000000	61.146	135.8919
1000.000000	61.179	135.5638
1015.000000	61.184	135.3491
