* Measurement data measured by REW V5.20
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Aug 26, 2024 9:42:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A over B A = Super 22 Target B = Uploaded IEF Comp Tar
* Measurement: A over B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
167.500000	102.129723	0
170.000000	102.115036	0
172.500000	102.100479	0
175.000000	102.086044	0
177.500000	102.071671	0
180.000000	102.057106	0
182.500000	102.042061	0
185.000000	102.026222	0
187.500000	102.009193	0
190.000000	101.990662	0
192.500000	101.970612	0
195.000000	101.949028	0
197.500000	101.926140	0
200.000000	101.902237	0
203.000000	101.872818	0
206.000000	101.843369	0
209.000000	101.814690	0
212.000000	101.787361	0
214.000000	101.770302	0
218.000000	101.739685	0
220.000000	101.725784	0
224.000000	101.702217	0
227.000000	101.686775	0
230.000000	101.673271	0
233.000000	101.661140	0
236.000000	101.650002	0
240.000000	101.635979	0
243.000000	101.625717	0
247.000000	101.612183	0
250.000000	101.601898	0
254.000000	101.588028	0
258.000000	101.573830	0
262.000000	101.559364	0
265.000000	101.548424	0
269.000000	101.533752	0
272.000000	101.522789	0
276.000000	101.508408	0
280.000000	101.494392	0
285.000000	101.477600	0
290.000000	101.461945	0
295.000000	101.447586	0
300.000000	101.434494	0
304.000000	101.424904	0
307.000000	101.418152	0
311.000000	101.409615	0
315.000000	101.401428	0
320.000000	101.391357	0
325.000000	101.381165	0
330.000000	101.370644	0
335.000000	101.359680	0
340.000000	101.348175	0
345.000000	101.336075	0
350.000000	101.323425	0
355.000000	101.310333	0
360.000000	101.296791	0
365.000000	101.282921	0
370.000000	101.268677	0
375.000000	101.254005	0
382.000000	101.232674	0
387.000000	101.217079	0
395.000000	101.191254	0
400.000000	101.174927	0
406.000000	101.155106	0
412.000000	101.135429	0
418.000000	101.116096	0
425.000000	101.094269	0
431.000000	101.076500	0
437.000000	101.059738	0
444.000000	101.041512	0
450.000000	101.027046	0
455.000000	101.015823	0
462.000000	101.001198	0
468.000000	100.989525	0
475.000000	100.976700	0
482.000000	100.964455	0
487.000000	100.955933	0
494.000000	100.944214	0
500.000000	100.934288	0
508.000000	100.921227	0
515.000000	100.909958	0
522.000000	100.898872	0
530.000000	100.886398	0
538.000000	100.874039	0
545.000000	100.863159	0
552.000000	100.852127	0
560.000000	100.839211	0
570.000000	100.822639	0
580.000000	100.805206	0
590.000000	100.787201	0
600.000000	100.768753	0
608.000000	100.753693	0
615.000000	100.740341	0
622.000000	100.726837	0
630.000000	100.711250	0
640.000000	100.691589	0
650.000000	100.671608	0
660.000000	100.651321	0
670.000000	100.630646	0
680.000000	100.609520	0
